Date,regime,ma_20,ma_50
1998-10-29,1,1031.4640075683594,1030.282801513672
1998-10-30,1,1036.267510986328,1030.4242028808594
1998-11-02,1,1042.4195098876953,1031.0314025878906
1998-11-03,1,1048.7320068359375,1031.4854016113281
1998-11-04,1,1056.131509399414,1032.0018029785156
1998-11-05,1,1064.8520080566407,1032.9950036621094
1998-11-06,1,1072.6830078125,1034.9634045410157
1998-11-09,1,1079.3075042724608,1037.0246032714845
1998-11-10,1,1085.9805053710938,1040.4442028808594
1998-11-11,1,1091.7525024414062,1042.9784020996094
1998-11-12,1,1095.2625,1045.5226013183594
1998-11-13,1,1098.7274963378907,1048.3918005371095
1998-11-16,1,1102.4014953613282,1051.6314001464843
1998-11-17,1,1106.1709899902344,1053.9485986328125
1998-11-18,1,1109.8989868164062,1056.714197998047
1998-11-19,1,1113.605487060547,1060.16259765625
1998-11-20,1,1118.2494873046876,1063.2523986816407
1998-11-23,1,1124.0439880371093,1066.4221984863282
1998-11-24,1,1129.9264892578126,1069.328397216797
1998-11-25,1,1135.8654907226562,1072.1561975097657
1998-11-27,1,1141.1854858398438,1075.6253967285156
1998-11-30,1,1144.4334838867187,1078.4961962890625
1998-12-01,1,1147.6174865722655,1081.5239965820313
1998-12-02,1,1150.63798828125,1084.356396484375
1998-12-03,1,1152.2114868164062,1086.0373974609374
1998-12-04,1,1154.3559875488281,1088.7177978515624
1998-12-07,1,1156.6904846191405,1091.576796875
1998-12-08,1,1159.2494873046876,1094.2305981445313
1998-12-09,1,1162.010986328125,1096.9199975585936
1998-12-10,1,1164.2134887695313,1099.8801977539063
1998-12-11,1,1166.6519897460937,1103.4815966796875
1998-12-14,1,1167.4259887695312,1106.2535961914064
1998-12-15,1,1168.7739868164062,1109.738995361328
1998-12-16,1,1169.9049865722657,1113.2859936523437
1998-12-17,1,1171.6799865722655,1117.4719934082032
1998-12-18,1,1173.4509887695312,1122.0437939453125
1998-12-21,1,1175.4154846191407,1126.41279296875
1998-12-22,1,1176.1834838867187,1130.529991455078
1998-12-23,1,1178.460986328125,1135.2047924804688
1998-12-24,1,1180.4309875488282,1139.6195922851562
1998-12-28,1,1182.0889892578125,1143.1795922851563
1998-12-29,1,1185.9979919433595,1146.887392578125
1998-12-30,1,1188.8304931640625,1150.278193359375
1998-12-31,1,1191.7294921875,1153.5841918945312
1999-01-04,1,1195.627490234375,1156.7477905273438
1999-01-05,1,1199.0294921875,1160.0737915039062
1999-01-06,1,1203.261492919922,1164.1071899414062
1999-01-07,1,1207.6789916992188,1168.055390625
1999-01-08,1,1212.2589904785157,1172.250390625
1999-01-11,1,1217.2019897460937,1176.16619140625
1999-01-12,1,1220.8544921875,1179.2377905273438
1999-01-13,1,1225.5144958496094,1181.9523901367188
1999-01-14,1,1227.9824951171875,1183.964189453125
1999-01-15,1,1232.0484985351563,1186.6125903320312
1999-01-19,1,1235.6494995117187,1189.279189453125
